# Hand-verified labels. The only ground truth in this project that is not
# derived from documentation, so it is the check on whether the weak labels
# measure visit-worthiness or merely fame.
#
# lamningsnummer,label,note
L1997:2183,1,"gånggrift, Fjärås - visited, sign present on site"
L1997:2184,1,"gånggrift, Fjärås - visited, sign present on site"
L1997:2097,1,"gånggrift, Fjärås - visited (polygon-only record)"
L1997:4402,1,"skeppssättning, Hanhals - visited, sign present on site"
L1997:1660,1,"Svalhögen stensättning, Fjärås - visited, sign present on site"
L1997:4707,1,"Hunehals borg - sign present; sv+no Wikipedia on unmerged item Q10527196 (no P1260)"
L1997:2646,1,"sign present on site; polygon-only record, 104x102 m"
L1997:3451,1,"sign present on site; polygon-only record, 61x120 m"
# --- review_streetview.csv, revisado 2026-09-08 desde Street View ---
# formato: lamningsnummer,label,certainty,note      label: 1 / 0.5 / 0
L1964:4134,1,3,"cartel Gravfaltstigen visible en Street View"
L1989:9706,1,3,"tiene cartel"
L2017:4179,1,3,"tiene cartel"
L1942:7236,1,3,"sitio interesante para visitar"
L2015:985,0.5,3,"sin cartel pero se ve la piedra - interes bajo"
L1969:1086,0,3,"no hay nada que ver"
L1955:8490,0,3,"nada que ver, y dentro de propiedad privada"
L2003:9754,1,3,"sin cartel pero muy accesible desde el camino - iria a caminar ahi"
L1972:5724,0,2,"no tiene cartel"
L1942:4527,0,2,"no tiene cartel"
L1968:5474,0,2,"sin cartel"
L1968:2081,0,2,"sin cartel"
# --- review_2.csv (caminos numerados), revisado 2026-09-08 ---
L1962:7538,1,2,"review_2"
L1988:1585,1,2,"review_2"
L1977:1256,1,2,"review_2"
L1996:2082,1,2,"review_2"
L1977:2285,1,2,"review_2"
L1990:6754,0.85,2,"review_2 - casi seguro interesante"
L1988:9405,0.5,2,"review_2"
L1974:3893,0.5,2,"review_2"
L1990:4202,0.5,2,"review_2"
L1991:4049,0.5,2,"review_2"
L1975:3383,0,2,"review_2"
L1965:9470,0,2,"review_2"
L2002:1845,0,2,"review_2"
L1991:8089,0,2,"review_2"
L1997:956,0,3,"franco: no interesante"
